Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
774d939b-5e0a-4362-ae42-a1891fbd2793,2020-04-05 16:04:14,Running,,4.01,24:16,6:03,9.91,319.0,13,149,"","",2020-04-05-160414.gpx
d9c1b785-151e-44fb-82c8-287741d755fa,2020-04-05 15:11:57,Running,,8.16,46:16,5:40,10.58,597.0,36,144,"","",2020-04-05-151157.gpx
ba4921a5-0150-4b29-9701-c2841f450a9f,2020-04-04 15:26:42,Running,,5.01,27:59,5:35,10.74,373.0,40,149,"","",2020-04-04-152642.gpx
a53fca36-25e0-4e25-9ff8-a8fc55d9ef27,2020-04-02 18:21:13,Running,,8.02,45:25,5:40,10.60,578.0,53,143,"","",2020-04-02-182113.gpx
c15b1a91-cb10-41bf-8e62-c4a6002271ca,2020-03-31 11:00:00,Running,,5.00,23:00,4:36,13.04,380.0,0,,"","",
5ab3c4d4-3c3b-457c-ba0a-39f77e0171d0,2020-03-30 18:23:38,Running,,11.51,1:05:50,5:43,10.49,772.0,59,139,"","",2020-03-30-182338.gpx
80300c95-f0ff-4f2e-a9c2-f5f200918991,2020-03-28 14:37:20,Running,,6.41,35:34,5:33,10.82,471.0,33,146,"","",2020-03-28-143720.gpx
bb242dac-2321-4a99-923b-61fe40be8e8d,2020-03-25 19:12:00,Running,,5.04,29:44,5:54,10.18,313.0,44,129,"","",2020-03-25-191200.gpx
41fbf4ff-9d84-49c8-be76-aa2fbe5a385d,2020-03-22 12:12:28,Other,,6.94,2:21:54,20:26,2.94,328.0,127,,"","",2020-03-22-121228.gpx
b84b2d42-b367-4ff4-abd5-8494f8d8ee7c,2020-03-22 08:48:26,Other,,7.18,2:33:08,21:19,2.81,327.0,130,,"","",2020-03-22-084826.gpx
96d41e20-2276-4c9e-b8b4-ef7c3ebc577d,2020-03-21 11:13:44,Running,,12.01,1:12:10,6:00,9.99,915.0,64,150,"","",2020-03-21-111344.gpx
1ba2cff9-0e33-4ad6-8038-43fd2a9e0afc,2020-03-19 18:05:02,Running,,8.01,46:40,5:49,10.30,525.0,49,138,"","",2020-03-19-180502.gpx
0bfe3ac0-4cb4-4e1d-9126-0ef9be2aca3a,2020-03-18 19:25:19,Running,,5.05,29:55,5:56,10.12,379.0,78,,"","",2020-03-18-192519.gpx
715d5a9b-3eb5-435d-b56c-9e830d121510,2020-03-16 18:18:14,Running,,13.01,1:18:57,6:04,9.89,863.0,97,146,"","",2020-03-16-181814.gpx
bb9745f4-7989-4ed4-a4fb-01105eeafaf0,2020-03-13 17:36:35,Running,,5.01,29:54,5:58,10.05,379.0,42,152,"","",2020-03-13-173635.gpx
b1e51d24-88c0-419d-a777-10340e6a0c82,2020-03-11 19:22:34,Running,,5.01,29:44,5:56,10.11,327.0,38,136,"","",2020-03-11-192234.gpx
e9010eb3-cc0c-4154-89c6-901c032b8d56,2020-03-08 13:27:38,Running,,12.85,1:15:37,5:53,10.20,900.0,100,150,"","",2020-03-08-132738.gpx
cd44a896-1227-4fae-9ef5-d2d8f970ef27,2020-03-07 15:54:40,Running,,5.01,30:51,6:10,9.74,379.0,35,149,"","",2020-03-07-155440.gpx
