ESPN ID,Golfer,Group ID,currentWGR,sow_WGR,soy_WGR,prior year finish,handicap,FedEx Rank,FedEx Points,Season Played,Season Won,Season 2-10,Season 11-29,Season 30 - 49,Season > 50,Season Cut,TOUR Championship,BMW Championship,FedEx St. Jude Championship,3M Open,The Open,Genesis Scottish Open,John Deere Classic,Rocket Mortgage Classic,Travelers Championship,U.S. Open,the Memorial Tournament pres. by Workday,RBC Canadian Open,Charles Schwab Challenge,PGA Championship,Wells Fargo Championship,THE CJ CUP Byron Nelson,Zurich Classic of New Orleans,RBC Heritage,Masters Tournament,Valero Texas Open,Texas Children's Houston Open,Valspar Championship,THE PLAYERS Championship,Arnold Palmer Invitational pres. by Mastercard,Cognizant Classic,Mexico Open at Vidanta,The Genesis Invitational,WM Phoenix Open,AT&T Pebble Beach Pro-Am,Farmers Insurance Open,The American Express,Sony Open in Hawaii,The Sentry
10140,Xander Schauffele,1,2,2,6,n/a,0,n/a,n/a,0,0,0,0,0,0,0,4,T5,T2,n/a,1,T15,n/a,n/a,T13,T7,T8,n/a,n/a,1,2,n/a,n/a,T18,8,n/a,n/a,T5,T2,T25,n/a,n/a,T4,n/a,,T9,T3,n/a,T10
10592,Collin Morikawa,1,4,4,13,n/a,0,n/a,n/a,0,0,0,0,0,0,0,2,T28,T22,n/a,T16,T4,n/a,n/a,T13,T14,2,n/a,4,T4,T16,n/a,n/a,9,T3,T75,n/a,n/a,T45,CUT,n/a,n/a,T19,n/a,,CUT,n/a,n/a,T5
5860,Hideki Matsuyama,1,7,7,46,n/a,0,n/a,n/a,0,0,0,0,0,0,0,9,WD,1,n/a,T66,CUT,n/a,n/a,T23,6,T8,n/a,n/a,T35,n/a,n/a,n/a,n/a,T38,T7,n/a,n/a,T6,T12,n/a,n/a,1,T22,,T13,n/a,T30,58
10980,Sahith Theegala,1,13,12,32,n/a,0,n/a,n/a,0,0,0,0,0,0,0,3,48,T46,T6,CUT,T4,n/a,n/a,T48,T32,T12,CUT,n/a,T12,T52,n/a,n/a,2,T45,n/a,T28,n/a,T9,T6,n/a,n/a,T37,5,,T64,n/a,CUT,2
11382,Sungjae Im,1,22,22,27,n/a,0,n/a,n/a,0,0,0,0,0,0,0,T10,T11,T40,n/a,T7,T4,T12,n/a,T3,CUT,T8,n/a,T9,CUT,T4,n/a,n/a,T12,CUT,n/a,n/a,CUT,T31,T18,CUT,n/a,T44,T66,,CUT,T25,n/a,T5
8973,Max Homa,1,27,26,7,n/a,0,n/a,n/a,0,0,0,0,0,0,0,n/a,T33,70,n/a,T43,T70,n/a,n/a,T61,CUT,T22,n/a,CUT,T35,T8,n/a,n/a,T55,T3,T25,n/a,n/a,T64,T8,n/a,n/a,T16,CUT,,T13,n/a,n/a,T14
4848,Justin Thomas,1,32,33,26,n/a,0,n/a,n/a,0,0,0,0,0,0,0,16,T39,T30,n/a,T31,T62,n/a,n/a,T5,CUT,T33,n/a,n/a,T8,T21,n/a,n/a,T5,CUT,n/a,n/a,T64,CUT,T12,n/a,n/a,CUT,T12,,n/a,T3,n/a,n/a
4410932,Min Woo Lee,1,42,41,33,n/a,0,n/a,n/a,0,0,0,0,0,0,0,n/a,n/a,T22,n/a,CUT,73,n/a,T2,n/a,T21,n/a,n/a,T24,T26,n/a,T24,n/a,n/a,T22,n/a,n/a,CUT,T54,T44,T2,n/a,n/a,T71,n/a,T43,T21,n/a,n/a
11101,Max Greyserman,2,52,53,185,n/a,1,n/a,n/a,0,0,0,0,0,0,0,n/a,T28,T33,2,n/a,T21,T26,T31,n/a,T21,n/a,CUT,CUT,n/a,n/a,CUT,n/a,n/a,n/a,CUT,T7,T33,n/a,n/a,T47,WD,n/a,n/a,n/a,CUT,T56,CUT,n/a
7081,Si Woo Kim,2,55,57,47,n/a,1,n/a,n/a,0,0,0,0,0,0,0,n/a,T5,T50,n/a,T43,T26,n/a,n/a,T31,T32,T15,n/a,T56,CUT,T16,T13,n/a,T18,T30,n/a,T17,n/a,T6,T30,n/a,n/a,T44,T12,,n/a,T25,T42,T25
