RANK,CHANGE,COUNTRY,PLAYER,AVERAGE POINTS,TOTAL POINTS,EVENTS PLAYED,
1,—,USA,NELLY KORDA,12.06,482.31,40,☆
2,—,USA,LILIA VU,7.61,327.02,43,☆
3,—,KOR,JIN YOUNG KO,5.56,200.07,36,☆
4,1,KOR,AMY YANG,5.39,221.17,41,☆
5,-1,CHN,RUONING YIN,5.26,220.93,42,☆
6,1,AUS,HANNAH GREEN,5.22,229.74,44,☆
7,-1,FRA,CELINE BOUTIER,5.21,249.9,48,☆
8,—,JPN,AYAKA FURUE,4.91,304.36,62,☆
9,—,USA,ROSE ZHANG,4.6,160.97,27,☆
10,—,JPN,YUKA SASO,4.47,223.38,50,☆
11,—,ENG,CHARLEY HULL,4.4,189.16,43,☆
12,—,AUS,MINJEE LEE,4.32,190.23,44,☆
13,—,KOR,HYOJOO KIM,4.29,192.93,45,☆
14,1,USA,ALLY EWING,4.11,164.55,40,☆
15,-1,THA,ATTHAYA THITIKUL,4.11,176.66,43,☆
16,3,JPN,MIYU YAMASHITA,3.9,269.01,69,☆
17,—,CHN,XIYU LIN,3.88,186.42,48,☆
18,-2,CAN,BROOKE M. HENDERSON,3.88,182.51,47,☆
19,-1,THA,PATTY TAVATANAKIT,3.85,184.62,48,☆
20,2,KOR,HAERAN RYU,3.73,201.26,54,☆
21,-1,NZL,LYDIA KO,3.61,162.41,45,☆
22,-1,USA,MEGAN KHANG,3.6,154.7,43,☆
23,—,SWE,MAJA STARK,3.46,169.59,49,☆
24,—,USA,ALISON LEE,3.39,169.5,50,☆
25,—,USA,ALLISEN CORPUZ,3.23,161.48,50,☆
26,—,SWE,LINN GRANT,3.22,164.07,51,☆
27,—,JPN,NASA HATAOKA,3.08,157.08,51,☆
28,—,KOR,JI YAI SHIN,3.06,177.68,58,☆
29,—,IRL,LEONA MAGUIRE,2.94,147.09,50,☆
30,—,KOR,YE WON LEE,2.88,170.1,59,☆
31,—,ESP,CARLOTA CIGANDA,2.7,148.58,55,☆
32,—,USA,ANGEL YIN,2.62,104.71,40,☆
33,10,THA,CHANETTEE WANNASAEN,2.61,114.92,44,☆
34,1,SWE,MADELENE SAGSTROM,2.53,119.05,47,☆
35,-1,KOR,HYUNKYUNG PARK,2.53,143.92,57,☆
36,—,USA,ANDREA LEE,2.48,123.82,50,☆
37,-4,USA,LEXI THOMPSON,2.47,88.8,36,☆
38,-1,USA,LAUREN COUGHLIN,2.45,127.6,52,☆
39,—,ENG,GEORGIA HALL,2.42,113.61,47,☆
40,-2,JPN,AKIE IWAI,2.4,182.67,76,☆
41,-1,KOR,JIN HEE IM,2.31,136.33,59,☆
42,-1,JPN,SAKURA KOIWAI,2.29,174.04,76,☆
43,-1,AUS,GABRIELA RUFFELS,2.27,106.48,47,☆
44,—,KOR,SEI YOUNG KIM,2.2,103.57,47,☆
45,—,JPN,RIO TAKEDA,2.2,158.61,72,☆
46,—,KOR,JIYOUNG PARK,2.19,116.18,53,☆
47,1,KOR,HYE JIN CHOI,2.15,122.28,57,☆
48,-1,AUS,STEPHANIE KYRIACOU,2.13,121.59,57,☆
49,1,USA,JENNIFER KUPCHO,2.08,101.7,49,☆
50,-1,RSA,ASHLEIGH BUHAI,2.06,104.96,51,☆
51,2,KOR,MINJI PARK,2.03,93.56,46,☆
52,—,JPN,MAO SAIGO,2.03,121.77,60,☆
53,-2,JPN,HINAKO SHIBUNO,2.02,107.29,53,☆
54,—,GER,ESTHER HENSELEIT,2.01,108.27,54,☆
55,3,THA,ARIYA JUTANUGARN,1.98,100.98,51,☆
56,—,KOR,SHINSIL BANG,1.98,89.1,45,☆
57,-2,JPN,CHISATO IWAI,1.98,154.05,78,☆
58,-1,KOR,YOUMIN HWANG,1.97,92.37,47,☆
59,—,KOR,JENNY SHIN,1.95,101.63,52,☆
60,1,KOR,SU JI KIM,1.87,104.99,56,☆
61,-1,IND,ADITI ASHOK,1.87,99.07,53,☆
62,—,JPN,AI SUZUKI,1.86,115.58,62,☆
63,—,KOR,A LIM KIM,1.82,92.98,51,☆
64,—,MEX,GABY LOPEZ,1.77,86.85,49,☆
65,2,KOR,DAYEON LEE,1.77,62,35,☆
66,—,SWE,ANNA NORDQVIST,1.76,82.81,47,☆
67,-2,KOR,MIN BYEOL KIM,1.74,81.67,47,☆
68,2,KOR,NARIN AN,1.68,87.57,52,☆
69,—,USA,SARAH SCHMELZEL,1.68,85.6,51,☆
70,1,SUI,ALBANE VALENZUELA,1.65,79.24,48,☆
71,-3,KOR,MI HYANG LEE,1.63,83.21,51,☆
72,—,GER,ALEXANDRA FORSTERLING,1.59,63.74,40,☆
73,—,AUS,GRACE KIM,1.59,82.49,52,☆
74,—,KOR,INA YOON,1.54,54.05,15,☆
75,—,THA,PAJAREE ANANNARUKARN,1.52,80.34,53,☆
76,2,TPE,PEIYUN CHIEN,1.46,80.14,55,☆
77,2,USA,RYANN O'TOOLE,1.45,65.11,45,☆
78,5,FRA,PERRINE DELACOUR,1.45,62.19,43,☆
79,-3,JPN,YUNA NISHIMURA,1.43,86.09,60,☆
80,2,KOR,SEUNG HUI RO,1.42,88.32,62,☆
81,-4,KOR,YUJIN SUNG,1.42,75.49,53,☆
82,-2,SCO,GEMMA DRYBURGH,1.4,75.38,54,☆
83,-2,JPN,KOKONA SAKURAI,1.38,99.54,72,☆
84,—,KOR,SO MI LEE,1.37,82.44,60,☆
85,—,JPN,SHIHO KUWAKI,1.35,98.22,73,☆
86,—,JPN,MINAMI KATSU,1.29,77.11,60,☆
87,2,KOR,YE SUNG JUN,1.28,74.5,58,☆
88,-1,ENG,JODI EWART SHADOFF,1.27,63.4,50,☆
89,21,JPN,HARUKA KAWASAKI,1.26,89.81,71,☆
90,-2,USA,CHEYENNE KNIGHT,1.25,60.17,48,☆
91,-1,DEN,EMILY KRISTINE PEDERSEN,1.23,68.63,56,☆
92,-1,THA,ARPICHAYA YUBOL,1.22,45.21,37,☆
93,-1,KOR,YUNJI JEONG,1.21,71.49,59,☆
94,8,JPN,SHURI SAKUMA,1.2,91.53,76,☆
95,-1,KOR,YERIM CHOI,1.2,75.63,63,☆
96,-3,KOR,JUYOUNG PAK,1.19,50.96,43,☆
97,1,THA,JASMINE SUWANNAPURA,1.18,60.2,51,☆
98,-3,KOR,JEYEONG LEE,1.16,63.91,55,☆
99,-3,JPN,ERIKA HARA,1.15,64.66,56,☆
100,-3,KOR,IN GEE CHUN,1.13,44.21,39,☆
101,2,KOR,GA YOUNG LEE,1.12,68.53,61,☆
102,-1,JPN,MINAMI HIRUTA,1.12,77.47,69,☆
103,-3,USA,ALEXA PANO,1.12,54.75,49,☆
104,-5,JPN,SORA KAMIYA,1.11,65.46,59,☆
105,1,JPN,SAYAKA TAKAHASHI,1.1,81.46,74,☆
106,-2,SWE,LINNEA STROM,1.08,63.74,59,☆
107,-2,USA,DANIELLE KANG,1.08,46.27,43,☆
108,7,JPN,SERENA AOKI,1.07,80.27,75,☆
109,-2,USA,BAILEY TARDY,1.06,46.82,44,☆
110,1,USA,MARINA ALEX,1.05,48.51,46,☆
111,1,DEN,NANNA KOERSTZ MADSEN,1.04,55,53,☆
112,-4,AUS,HIRA NAVEED,1.03,41.34,40,☆
113,—,THA,WICHANEE MEECHAI,1.03,49.6,48,☆
114,-5,NED,ANNE VAN DAM,1.02,43.97,43,☆
115,1,KOR,JAEHEE KIM,1.02,63.36,62,☆
116,-2,JPN,MONE INAMI,1.02,65.27,64,☆
117,1,KOR,SOHYUN BAE,1.02,59.89,59,☆
118,-1,PHI,BIANCA PAGDANGANAN,1,42.06,42,☆
119,1,JPN,YURI YOSHIDA,0.99,63.55,64,☆
120,-1,ESP,AZAHARA MUNOZ,0.99,38.59,39,☆
121,—,SWE,JOHANNA GUSTAVSSON,0.99,45.43,46,☆
