Tournament,Group,Golfer,Current OWGR,Last Week OWGR,End of last year OWGR,Recent Tournament 1,Recent Toounament 1 result,Recent Tournament 2,Recent Toounament 2 result,Recent Tournament 3,Recent Toounament 3 result,Recent Tournament 4,Recent Toounament 4 result
Charles Schwab Challenge,1,Justin Thomas,2,2,3,Valspar Championship,T13,Wells Fargo Championship,T26,AT&T Byron Nelson,DNP,PGA Championship,CUT
Charles Schwab Challenge,1,Collin Morikawa,5,6,7,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP,PGA Championship,T8
Charles Schwab Challenge,1,Patrick Reed,8,8,11,Valspar Championship,CUT,Wells Fargo Championship,T6,AT&T Byron Nelson,DNP,PGA Championship,T17
Charles Schwab Challenge,1,Tony Finau,13,14,19,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP,PGA Championship,T8
Charles Schwab Challenge,1,Daniel Berger,16,16,13,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T3,PGA Championship,T75
Charles Schwab Challenge,1,Abraham Ancer,19,19,23,Valspar Championship,5,Wells Fargo Championship,2,AT&T Byron Nelson,DNP,PGA Championship,T8
Charles Schwab Challenge,1,Billy Horschel,21,18,42,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP,PGA Championship,T23
Charles Schwab Challenge,1,Scottie Scheffler,22,24,31,Valspar Championship,T29,Wells Fargo Championship,DNP,AT&T Byron Nelson,T47,PGA Championship,T8
Charles Schwab Challenge,1,Sungjae Im,23,23,18,Valspar Championship,T29,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP,PGA Championship,T17
Charles Schwab Challenge,1,Lee Westwood,25,21,36,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T21,PGA Championship,T71
Charles Schwab Challenge,2,Will Zalatoris,27,30,59,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,T17,PGA Championship,T8
Charles Schwab Challenge,2,Jordan Spieth,28,26,82,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T9,PGA Championship,T30
Charles Schwab Challenge,2,Joaquin Niemann,29,29,45,Valspar Championship,T8,Wells Fargo Championship,T18,AT&T Byron Nelson,DNP,PGA Championship,T30
Charles Schwab Challenge,2,Phil Mickelson,32,115,66,Valspar Championship,CUT,Wells Fargo Championship,69,AT&T Byron Nelson,DNP,PGA Championship,1
Charles Schwab Challenge,2,Ryan Palmer,33,32,30,Valspar Championship,T63,Wells Fargo Championship,DNP,AT&T Byron Nelson,T47,PGA Championship,CUT
Charles Schwab Challenge,2,Jason Kokrak,35,35,26,Valspar Championship,T13,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP,PGA Championship,T49
Charles Schwab Challenge,2,Corey Conners,36,39,54,Valspar Championship,T21,Wells Fargo Championship,T43,AT&T Byron Nelson,DNP,PGA Championship,T17
