Abraham Ancer
Oliver Bekker
Richard Bland
Itthipat Buranatanyarat
Laurie Canter
TK Chantananuwat
Bryson DeChambeau
Hennie Du Plessis
Oliver Fisher
Sergio Garcia
Taylor Gooch
Branden Grace
Justin Harding
Sam Horsfield
Dustin Johnson
Matt Jones
Sadom Kaewkanjana
Martin Kaymer
Sihwan Kim
Ryo Kinoshita
Phachara Khongwatmai
Brooks Koepka
Chase Koepka
Jinichiro Kozuma
Pablo Larrazabal
Viraj Madappa
Graeme McDowell
Phil Mickelson
Jediah Morgan
Kevin Na
Shaun Norris
Andy Ogletree
Louis Oosthuizen
Wade Ormsby
Adrian Otaegui
Pat Perez
Turk Petit
James Piot
Ian Poulter
David Puig
Patrick Reed
JC Ritchie
Charl Schwartzel
Travis Smyth
Ian Snyman
Hudson Swafford
Hideto Tanihara
Peter Uihlein
Scott Vincent
Lee Westwood
Bernd Wiesberger
Blake Windred
Kevin Yuan
