rank,rank_delta,player_name,country_code,event_count,average_points,total_points
1,0,Nelly Korda,USA,47,9.95,467.78
2,0,Jin Young KO,KOR,48,9.14,438.82
3,0,In Bee PARK,KOR,47,7.99,375.57
4,0,Sei Young Kim,KOR,54,7.45,402.13
5,0,Hyo-Joo Kim,KOR,48,6.17,296.19
6,0,Danielle Kang,USA,49,6.14,300.88
7,0,Brooke M. Henderson,CAN,54,5.79,312.67
8,0,Yuka Saso,PHI,33,5.7,199.32
9,0,Nasa Hataoka,JPN,51,5.68,289.64
10,0,Lydia Ko,NZL,51,5.36,273.32
11,0,Lexi Thompson,USA,47,5.17,243.18
12,0,Patty Tavatanakit,THA,39,4.96,193.35
13,0,Jessica Korda,USA,42,4.25,178.4
14,1,Minjee Lee,AUS,54,4.17,225.32
15,-1,Min Ji PARK,KOR,55,4.12,226.83
16,1,Hannah Green,AUS,52,4.12,214.03
17,-1,Ally Ewing,USA,52,4.08,211.95
18,0,So Yeon Ryu,KOR,48,3.93,188.72
19,0,Shanshan Feng,CHN,42,3.84,161.24
20,0,Ha Na JANG,KOR,54,3.71,200.07
21,0,Austin Ernst,USA,51,3.69,187.95
22,0,Ariya Jutanugarn,THA,56,3.66,205.09
23,0,Lizette Salas,USA,50,3.59,179.61
24,0,Sophia Popov,GER,45,3.47,156.14
25,0,Jennifer Kupcho,USA,45,3.33,150.01
26,0,Jeong Eun Lee6,KOR,57,3.31,188.56
27,0,Mone Inami,JPN,59,3.29,194.08
28,0,Hae Ran RYU,KOR,43,3.09,133
29,1,Amy Olson,USA,54,3.04,164.23
30,-1,Ayaka  Furue,JPN,52,2.97,154.43
31,2,Megan Khang,USA,51,2.91,148.3
32,-1,Hinako Shibuno,JPN,57,2.89,164.9
33,-1,Carlota Ciganda,ESP,51,2.89,147.35
34,0,Moriya Jutanugarn,THA,56,2.81,157.11
35,3,Charley Hull,ENG,48,2.67,128.29
36,0,Amy Yang,KOR,51,2.67,136.3
37,-2,Sung Hyun Park,KOR,48,2.66,127.65
38,-1,Melissa Reid,ENG,48,2.63,126.24
39,0,Hye Jin CHOI,KOR,62,2.61,161.53
40,0,Mirim Lee,KOR,50,2.59,129.69
41,0,Mi Jung Hur,KOR,43,2.58,111.05
