RANK,CHANGE,COUNTRY,PLAYER,AVERAGE POINTS,TOTAL POINTS,EVENTS PLAYED
1,—,USA,NELLY KORDA,9.95,467.78,47
2,—,KOR,JIN YOUNG KO,9.14,438.82,48
3,—,KOR,IN BEE PARK,7.99,375.57,47
4,—,KOR,SEI YOUNG KIM,7.45,402.13,54
5,—,KOR,HYO-JOO KIM,6.17,296.19,48
6,—,USA,DANIELLE KANG,6.14,300.88,49
7,—,CAN,BROOKE M. HENDERSON,5.79,312.67,54
8,—,PHI,YUKA SASO,5.7,199.32,33
9,—,JPN,NASA HATAOKA,5.68,289.64,51
10,—,NZL,LYDIA KO,5.36,273.32,51
11,—,USA,LEXI THOMPSON,5.17,243.18,47
12,—,THA,PATTY TAVATANAKIT,4.96,193.35,39
13,—,USA,JESSICA KORDA,4.25,178.4,42
14,1,AUS,MINJEE LEE,4.17,225.32,54
15,-1,KOR,MIN JI PARK,4.12,226.83,55
16,1,AUS,HANNAH GREEN,4.12,214.03,52
17,-1,USA,ALLY EWING,4.08,211.95,52
18,—,KOR,SO YEON RYU,3.93,188.72,48
19,—,CHN,SHANSHAN FENG,3.84,161.24,42
20,—,KOR,HA NA JANG,3.71,200.07,54
21,—,USA,AUSTIN ERNST,3.69,187.95,51
22,—,THA,ARIYA JUTANUGARN,3.66,205.09,56
23,—,USA,LIZETTE SALAS,3.59,179.61,50
24,—,GER,SOPHIA POPOV,3.47,156.14,45
25,—,USA,JENNIFER KUPCHO,3.33,150.01,45
26,—,KOR,JEONG EUN LEE6,3.31,188.56,57
27,—,JPN,MONE INAMI,3.29,194.08,59
28,—,KOR,HAE RAN RYU,3.09,133,43
29,1,USA,AMY OLSON,3.04,164.23,54
30,-1,JPN,AYAKA FURUE,2.97,154.43,52
31,2,USA,MEGAN KHANG,2.91,148.3,51
32,-1,JPN,HINAKO SHIBUNO,2.89,164.9,57
33,-1,ESP,CARLOTA CIGANDA,2.89,147.35,51
34,—,THA,MORIYA JUTANUGARN,2.81,157.11,56
35,3,ENG,CHARLEY HULL,2.67,128.29,48
36,—,KOR,AMY YANG,2.67,136.3,51
37,-2,KOR,SUNG HYUN PARK,2.66,127.65,48
38,-1,ENG,MELISSA REID,2.63,126.24,48
39,—,KOR,HYE JIN CHOI,2.61,161.53,62
40,—,KOR,MIRIM LEE,2.59,129.69,50
41,—,KOR,MI JUNG HUR,2.58,111.05,43
42,—,JPN,AI SUZUKI,2.58,157.48,61
43,—,KOR,A LIM KIM,2.58,152.29,59
44,2,JPN,MIYU YAMASHITA,2.52,88.26,35
45,-1,KOR,JI YAI SHIN,2.5,152.79,61
46,3,KOR,IN GEE CHUN,2.42,123.41,51
47,-2,USA,STACY LEWIS,2.41,115.62,48
48,-1,USA,BRITTANY ALTOMARE,2.4,131.75,55
49,-1,KOR,HEE JEONG LIM,2.38,147.79,62
50,1,SWE,ANNA NORDQVIST,2.37,128.01,54
51,-1,KOR,HYUN KYUNG PARK,2.33,134.89,58
52,6,FIN,MATILDA CASTREN,2.28,86.53,38
53,-1,ENG,GEORGIA HALL,2.28,127.48,56
54,-1,JPN,SAKURA KOIWAI,2.26,167.46,74
55,-1,USA,MARINA ALEX,2.24,100.66,45
56,6,KOR,DA YEON LEE,2.21,108.24,49
57,-2,DEN,NANNA KOERSTZ MADSEN,2.2,114.43,52
58,-2,USA,ANGELA STANFORD,2.17,108.45,50
59,-2,FRA,CELINE BOUTIER,2.16,131.76,61
60,-1,IRL,LEONA MAGUIRE,2.14,113.42,53
61,2,MEX,GABY LOPEZ,2.11,115.91,55
62,-2,USA,YEALIMI NOH,2.11,90.54,43
63,1,CHN,XIYU LIN,2.08,114.25,55
64,-3,KOR,SEON WOO BAE,2.07,142.74,69
65,1,GER,CAROLINE MASSON,2.04,110.24,54
66,-1,KOR,SO MI LEE,1.99,113.7,57
67,1,USA,ANGEL YIN,1.99,99.29,50
68,-1,JPN,YUNA NISHIMURA,1.98,93.14,47
69,—,USA,MINA HARIGAE,1.91,86.06,45
70,—,KOR,NA RIN AN,1.86,104.3,56
71,—,JPN,MOMOKO UEDA,1.84,110.17,60
72,1,KOR,JENNY SHIN,1.83,97.09,53
73,1,CHN,YU LIU,1.82,107.32,59
74,-2,SWE,MADELENE SAGSTROM,1.81,94.24,52
75,—,DEN,EMILY KRISTINE PEDERSEN,1.76,74.04,42
76,—,KOR,MINYOUNG2 LEE,1.74,114.58,66
77,—,RSA,ASHLEIGH BUHAI,1.62,98.84,61
78,49,JPN,MAIKO WAKABAYASHI,1.56,54.58,31
79,3,KOR,JI YEONG2 KIM,1.54,92.5,60
80,—,USA,JENNIFER SONG,1.54,73.75,48
81,-2,THA,JASMINE SUWANNAPURA,1.53,98.12,64
82,-1,TPE,WEI-LING HSU,1.53,88.81,58
83,-5,JPN,MAO SAIGO,1.5,61.42,41
84,—,KOR,HAN SOL JI,1.47,83.73,57
85,-2,KOR,EUN-HEE JI,1.44,73.69,51
86,3,THA,ATTHAYA THITIKUL,1.44,50.27,15
87,3,JPN,SAYAKA TAKAHASHI,1.42,100.79,71
88,-2,ESP,AZAHARA MUNOZ,1.42,83.74,59
89,-4,JPN,MINAMI KATSU,1.41,95.56,68
90,-3,ENG,JODI EWART SHADOFF,1.4,68.5,49
91,-3,KOR,MI HYANG LEE,1.4,81.07,58
92,—,USA,LAUREN STEPHENSON,1.36,66.55,49
93,1,JPN,ERI OKAYAMA,1.34,88.63,66
94,-3,KOR,SO YOUNG LEE,1.33,78.55,59
